# <db_root>,<prot?>,<nuc?>,<short_seqs?>,<db_menu_name>,<db_long_name>,<protein_url>,<nuc_url>
Candidatus_Riesia_pediculicola_USDA_uid29065,yes,yes,no,Candidatus Riesia pediculicola USDA uid29065,Sequences from GENBANK for <I>Candidatus Riesia pediculicola USDA uid29065</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Candidatus_Riesia_pediculicola_USDA_uid29065/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Candidatus_Riesia_pediculicola_USDA_uid29065/*.fna
Candidatus_Ruthia_magnifica_Cm_Calyptogena_magnifica__uid16841,yes,yes,no,Candidatus Ruthia magnifica Cm Calyptogena magnifica  uid16841,Sequences from GENBANK for <I>Candidatus Ruthia magnifica Cm Calyptogena magnifica  uid16841</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Candidatus_Ruthia_magnifica_Cm_Calyptogena_magnifica__uid16841/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Candidatus_Ruthia_magnifica_Cm_Calyptogena_magnifica__uid16841/*.fna
Candidatus_Sulcia_muelleri_CARI_uid43087,yes,yes,no,Candidatus Sulcia muelleri CARI uid43087,Sequences from GENBANK for <I>Candidatus Sulcia muelleri CARI uid43087</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Candidatus_Sulcia_muelleri_CARI_uid43087/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Candidatus_Sulcia_muelleri_CARI_uid43087/*.fna
Candidatus_Sulcia_muelleri_DMIN_uid37785,yes,yes,no,Candidatus Sulcia muelleri DMIN uid37785,Sequences from GENBANK for <I>Candidatus Sulcia muelleri DMIN uid37785</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Candidatus_Sulcia_muelleri_DMIN_uid37785/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Candidatus_Sulcia_muelleri_DMIN_uid37785/*.fna
Candidatus_Sulcia_muelleri_GWSS_uid19617,yes,yes,no,Candidatus Sulcia muelleri GWSS uid19617,Sequences from GENBANK for <I>Candidatus Sulcia muelleri GWSS uid19617</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Candidatus_Sulcia_muelleri_GWSS_uid19617/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Candidatus_Sulcia_muelleri_GWSS_uid19617/*.fna
Candidatus_Sulcia_muelleri_SMDSEM_uid33829,yes,yes,no,Candidatus Sulcia muelleri SMDSEM uid33829,Sequences from GENBANK for <I>Candidatus Sulcia muelleri SMDSEM uid33829</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Candidatus_Sulcia_muelleri_SMDSEM_uid33829/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Candidatus_Sulcia_muelleri_SMDSEM_uid33829/*.fna
Candidatus_Tremblaya_princeps_PCIT_uid53211,yes,yes,no,Candidatus Tremblaya princeps PCIT uid53211,Sequences from GENBANK for <I>Candidatus Tremblaya princeps PCIT uid53211</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Candidatus_Tremblaya_princeps_PCIT_uid53211/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Candidatus_Tremblaya_princeps_PCIT_uid53211/*.fna
Candidatus_Tremblaya_princeps_PCVAL_uid68831,yes,yes,no,Candidatus Tremblaya princeps PCVAL uid68831,Sequences from GENBANK for <I>Candidatus Tremblaya princeps PCVAL uid68831</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Candidatus_Tremblaya_princeps_PCVAL_uid68831/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Candidatus_Tremblaya_princeps_PCVAL_uid68831/*.fna
Candidatus_Vesicomyosocius_okutanii_HA_uid18267,yes,yes,no,Candidatus Vesicomyosocius okutanii HA uid18267,Sequences from GENBANK for <I>Candidatus Vesicomyosocius okutanii HA uid18267</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Candidatus_Vesicomyosocius_okutanii_HA_uid18267/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Candidatus_Vesicomyosocius_okutanii_HA_uid18267/*.fna
Capnocytophaga_canimorsus_Cc5_uid50199,yes,yes,no,Capnocytophaga canimorsus Cc5 uid50199,Sequences from GENBANK for <I>Capnocytophaga canimorsus Cc5 uid50199</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Capnocytophaga_canimorsus_Cc5_uid50199/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Capnocytophaga_canimorsus_Cc5_uid50199/*.fna
Capnocytophaga_ochracea_DSM_7271_uid29403,yes,yes,no,Capnocytophaga ochracea DSM 7271 uid29403,Sequences from GENBANK for <I>Capnocytophaga ochracea DSM 7271 uid29403</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Capnocytophaga_ochracea_DSM_7271_uid29403/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Capnocytophaga_ochracea_DSM_7271_uid29403/*.fna
Carboxydothermus_hydrogenoformans_Z-2901_uid253,yes,yes,no,Carboxydothermus hydrogenoformans Z-2901 uid253,Sequences from GENBANK for <I>Carboxydothermus hydrogenoformans Z-2901 uid253</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Carboxydothermus_hydrogenoformans_Z-2901_uid253/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Carboxydothermus_hydrogenoformans_Z-2901_uid253/*.fna
Carnobacterium_17_4_uid60607,yes,yes,no,Carnobacterium 17 4 uid60607,Sequences from GENBANK for <I>Carnobacterium 17 4 uid60607</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Carnobacterium_17_4_uid60607/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Carnobacterium_17_4_uid60607/*.fna
Catenulispora_acidiphila_DSM_44928_uid21085,yes,yes,no,Catenulispora acidiphila DSM 44928 uid21085,Sequences from GENBANK for <I>Catenulispora acidiphila DSM 44928 uid21085</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Catenulispora_acidiphila_DSM_44928_uid21085/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Catenulispora_acidiphila_DSM_44928_uid21085/*.fna
Caulobacter_K31_uid16306,yes,yes,no,Caulobacter K31 uid16306,Sequences from GENBANK for <I>Caulobacter K31 uid16306</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Caulobacter_K31_uid16306/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Caulobacter_K31_uid16306/*.fna
Caulobacter_crescentus_NA1000_uid32027,yes,yes,no,Caulobacter crescentus NA1000 uid32027,Sequences from GENBANK for <I>Caulobacter crescentus NA1000 uid32027</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Caulobacter_crescentus_NA1000_uid32027/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Caulobacter_crescentus_NA1000_uid32027/*.fna
Caulobacter_crescentus_uid298,yes,yes,no,Caulobacter crescentus uid298,Sequences from GENBANK for <I>Caulobacter crescentus uid298</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Caulobacter_crescentus_uid298/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Caulobacter_crescentus_uid298/*.fna
Caulobacter_segnis_ATCC_21756_uid37277,yes,yes,no,Caulobacter segnis ATCC 21756 uid37277,Sequences from GENBANK for <I>Caulobacter segnis ATCC 21756 uid37277</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Caulobacter_segnis_ATCC_21756_uid37277/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Caulobacter_segnis_ATCC_21756_uid37277/*.fna
Cellulomonas_fimi_ATCC_484_uid33691,yes,yes,no,Cellulomonas fimi ATCC 484 uid33691,Sequences from GENBANK for <I>Cellulomonas fimi ATCC 484 uid33691</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Cellulomonas_fimi_ATCC_484_uid33691/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Cellulomonas_fimi_ATCC_484_uid33691/*.fna
Cellulomonas_flavigena_DSM_20109_uid19707,yes,yes,no,Cellulomonas flavigena DSM 20109 uid19707,Sequences from GENBANK for <I>Cellulomonas flavigena DSM 20109 uid19707</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Cellulomonas_flavigena_DSM_20109_uid19707/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Cellulomonas_flavigena_DSM_20109_uid19707/*.fna
Cellulophaga_algicola_DSM_14237_uid41529,yes,yes,no,Cellulophaga algicola DSM 14237 uid41529,Sequences from GENBANK for <I>Cellulophaga algicola DSM 14237 uid41529</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Cellulophaga_algicola_DSM_14237_uid41529/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Cellulophaga_algicola_DSM_14237_uid41529/*.fna
Cellulophaga_lytica_DSM_7489_uid50743,yes,yes,no,Cellulophaga lytica DSM 7489 uid50743,Sequences from GENBANK for <I>Cellulophaga lytica DSM 7489 uid50743</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Cellulophaga_lytica_DSM_7489_uid50743/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Cellulophaga_lytica_DSM_7489_uid50743/*.fna
Cellvibrio_gilvus_ATCC_13127_uid33853,yes,yes,no,Cellvibrio gilvus ATCC 13127 uid33853,Sequences from GENBANK for <I>Cellvibrio gilvus ATCC 13127 uid33853</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Cellvibrio_gilvus_ATCC_13127_uid33853/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Cellvibrio_gilvus_ATCC_13127_uid33853/*.fna
Cellvibrio_japonicus_Ueda107_uid28329,yes,yes,no,Cellvibrio japonicus Ueda107 uid28329,Sequences from GENBANK for <I>Cellvibrio japonicus Ueda107 uid28329</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Cellvibrio_japonicus_Ueda107_uid28329/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Cellvibrio_japonicus_Ueda107_uid28329/*.fna
Chitinophaga_pinensis_DSM_2588_uid27951,yes,yes,no,Chitinophaga pinensis DSM 2588 uid27951,Sequences from GENBANK for <I>Chitinophaga pinensis DSM 2588 uid27951</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chitinophaga_pinensis_DSM_2588_uid27951/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chitinophaga_pinensis_DSM_2588_uid27951/*.fna
Chlamydia_muridarum_uid229,yes,yes,no,Chlamydia muridarum uid229,Sequences from GENBANK for <I>Chlamydia muridarum uid229</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydia_muridarum_uid229/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydia_muridarum_uid229/*.fna
Chlamydia_trachomatis_434_Bu_uid28583,yes,yes,no,Chlamydia trachomatis 434 Bu uid28583,Sequences from GENBANK for <I>Chlamydia trachomatis 434 Bu uid28583</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydia_trachomatis_434_Bu_uid28583/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydia_trachomatis_434_Bu_uid28583/*.fna
Chlamydia_trachomatis_A2497_uid32651,yes,yes,no,Chlamydia trachomatis A2497 uid32651,Sequences from GENBANK for <I>Chlamydia trachomatis A2497 uid32651</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydia_trachomatis_A2497_uid32651/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydia_trachomatis_A2497_uid32651/*.fna
Chlamydia_trachomatis_A2497_uid53575,yes,yes,no,Chlamydia trachomatis A2497 uid53575,Sequences from GENBANK for <I>Chlamydia trachomatis A2497 uid53575</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydia_trachomatis_A2497_uid53575/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydia_trachomatis_A2497_uid53575/*.fna
Chlamydia_trachomatis_A_HAR-13_uid13885,yes,yes,no,Chlamydia trachomatis A HAR-13 uid13885,Sequences from GENBANK for <I>Chlamydia trachomatis A HAR-13 uid13885</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydia_trachomatis_A_HAR-13_uid13885/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydia_trachomatis_A_HAR-13_uid13885/*.fna
Chlamydia_trachomatis_B_Jali20_OT_uid32655,yes,yes,no,Chlamydia trachomatis B Jali20 OT uid32655,Sequences from GENBANK for <I>Chlamydia trachomatis B Jali20 OT uid32655</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydia_trachomatis_B_Jali20_OT_uid32655/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydia_trachomatis_B_Jali20_OT_uid32655/*.fna
Chlamydia_trachomatis_B_TZ1A828_OT_uid32653,yes,yes,no,Chlamydia trachomatis B TZ1A828 OT uid32653,Sequences from GENBANK for <I>Chlamydia trachomatis B TZ1A828 OT uid32653</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydia_trachomatis_B_TZ1A828_OT_uid32653/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydia_trachomatis_B_TZ1A828_OT_uid32653/*.fna
Chlamydia_trachomatis_D_EC_uid48087,yes,yes,no,Chlamydia trachomatis D EC uid48087,Sequences from GENBANK for <I>Chlamydia trachomatis D EC uid48087</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydia_trachomatis_D_EC_uid48087/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydia_trachomatis_D_EC_uid48087/*.fna
Chlamydia_trachomatis_D_LC_uid48089,yes,yes,no,Chlamydia trachomatis D LC uid48089,Sequences from GENBANK for <I>Chlamydia trachomatis D LC uid48089</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydia_trachomatis_D_LC_uid48089/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydia_trachomatis_D_LC_uid48089/*.fna
Chlamydia_trachomatis_D_UW_3_CX_uid45,yes,yes,no,Chlamydia trachomatis D UW 3 CX uid45,Sequences from GENBANK for <I>Chlamydia trachomatis D UW 3 CX uid45</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydia_trachomatis_D_UW_3_CX_uid45/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydia_trachomatis_D_UW_3_CX_uid45/*.fna
Chlamydia_trachomatis_E_11023_uid43141,yes,yes,no,Chlamydia trachomatis E 11023 uid43141,Sequences from GENBANK for <I>Chlamydia trachomatis E 11023 uid43141</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydia_trachomatis_E_11023_uid43141/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydia_trachomatis_E_11023_uid43141/*.fna
Chlamydia_trachomatis_E_150_uid43143,yes,yes,no,Chlamydia trachomatis E 150 uid43143,Sequences from GENBANK for <I>Chlamydia trachomatis E 150 uid43143</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydia_trachomatis_E_150_uid43143/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydia_trachomatis_E_150_uid43143/*.fna
Chlamydia_trachomatis_G_11074_uid43149,yes,yes,no,Chlamydia trachomatis G 11074 uid43149,Sequences from GENBANK for <I>Chlamydia trachomatis G 11074 uid43149</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydia_trachomatis_G_11074_uid43149/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydia_trachomatis_G_11074_uid43149/*.fna
Chlamydia_trachomatis_G_11222_uid43147,yes,yes,no,Chlamydia trachomatis G 11222 uid43147,Sequences from GENBANK for <I>Chlamydia trachomatis G 11222 uid43147</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydia_trachomatis_G_11222_uid43147/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydia_trachomatis_G_11222_uid43147/*.fna
Chlamydia_trachomatis_G_9301_uid45851,yes,yes,no,Chlamydia trachomatis G 9301 uid45851,Sequences from GENBANK for <I>Chlamydia trachomatis G 9301 uid45851</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydia_trachomatis_G_9301_uid45851/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydia_trachomatis_G_9301_uid45851/*.fna
Chlamydia_trachomatis_G_9768_uid43145,yes,yes,no,Chlamydia trachomatis G 9768 uid43145,Sequences from GENBANK for <I>Chlamydia trachomatis G 9768 uid43145</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydia_trachomatis_G_9768_uid43145/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydia_trachomatis_G_9768_uid43145/*.fna
Chlamydia_trachomatis_L2b_UCH_1_proctitis_uid28585,yes,yes,no,Chlamydia trachomatis L2b UCH 1 proctitis uid28585,Sequences from GENBANK for <I>Chlamydia trachomatis L2b UCH 1 proctitis uid28585</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydia_trachomatis_L2b_UCH_1_proctitis_uid28585/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydia_trachomatis_L2b_UCH_1_proctitis_uid28585/*.fna
Chlamydia_trachomatis_L2c_uid47581,yes,yes,no,Chlamydia trachomatis L2c uid47581,Sequences from GENBANK for <I>Chlamydia trachomatis L2c uid47581</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydia_trachomatis_L2c_uid47581/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydia_trachomatis_L2c_uid47581/*.fna
Chlamydia_trachomatis_Sweden2_uid43167,yes,yes,no,Chlamydia trachomatis Sweden2 uid43167,Sequences from GENBANK for <I>Chlamydia trachomatis Sweden2 uid43167</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydia_trachomatis_Sweden2_uid43167/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydia_trachomatis_Sweden2_uid43167/*.fna
Chlamydia_trachomatis_uid71065,yes,yes,no,Chlamydia trachomatis uid71065,Sequences from GENBANK for <I>Chlamydia trachomatis uid71065</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydia_trachomatis_uid71065/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydia_trachomatis_uid71065/*.fna
Chlamydia_trachomatis_uid71067,yes,yes,no,Chlamydia trachomatis uid71067,Sequences from GENBANK for <I>Chlamydia trachomatis uid71067</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydia_trachomatis_uid71067/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydia_trachomatis_uid71067/*.fna
Chlamydia_trachomatis_uid71069,yes,yes,no,Chlamydia trachomatis uid71069,Sequences from GENBANK for <I>Chlamydia trachomatis uid71069</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydia_trachomatis_uid71069/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydia_trachomatis_uid71069/*.fna
Chlamydia_trachomatis_uid71071,yes,yes,no,Chlamydia trachomatis uid71071,Sequences from GENBANK for <I>Chlamydia trachomatis uid71071</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydia_trachomatis_uid71071/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydia_trachomatis_uid71071/*.fna
Chlamydia_trachomatis_uid71075,yes,yes,no,Chlamydia trachomatis uid71075,Sequences from GENBANK for <I>Chlamydia trachomatis uid71075</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydia_trachomatis_uid71075/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydia_trachomatis_uid71075/*.fna
Chlamydia_trachomatis_uid71077,yes,yes,no,Chlamydia trachomatis uid71077,Sequences from GENBANK for <I>Chlamydia trachomatis uid71077</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydia_trachomatis_uid71077/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydia_trachomatis_uid71077/*.fna
Chlamydia_trachomatis_uid71079,yes,yes,no,Chlamydia trachomatis uid71079,Sequences from GENBANK for <I>Chlamydia trachomatis uid71079</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydia_trachomatis_uid71079/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydia_trachomatis_uid71079/*.fna
Chlamydia_trachomatis_uid71081,yes,yes,no,Chlamydia trachomatis uid71081,Sequences from GENBANK for <I>Chlamydia trachomatis uid71081</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydia_trachomatis_uid71081/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydia_trachomatis_uid71081/*.fna
Chlamydia_trachomatis_uid71083,yes,yes,no,Chlamydia trachomatis uid71083,Sequences from GENBANK for <I>Chlamydia trachomatis uid71083</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydia_trachomatis_uid71083/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydia_trachomatis_uid71083/*.fna
Chlamydia_trachomatis_uid71085,yes,yes,no,Chlamydia trachomatis uid71085,Sequences from GENBANK for <I>Chlamydia trachomatis uid71085</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydia_trachomatis_uid71085/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydia_trachomatis_uid71085/*.fna
Chlamydia_trachomatis_uid71087,yes,yes,no,Chlamydia trachomatis uid71087,Sequences from GENBANK for <I>Chlamydia trachomatis uid71087</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydia_trachomatis_uid71087/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydia_trachomatis_uid71087/*.fna
Chlamydia_trachomatis_uid71089,yes,yes,no,Chlamydia trachomatis uid71089,Sequences from GENBANK for <I>Chlamydia trachomatis uid71089</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydia_trachomatis_uid71089/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydia_trachomatis_uid71089/*.fna
Chlamydia_trachomatis_uid71091,yes,yes,no,Chlamydia trachomatis uid71091,Sequences from GENBANK for <I>Chlamydia trachomatis uid71091</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydia_trachomatis_uid71091/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydia_trachomatis_uid71091/*.fna
Chlamydia_trachomatis_uid71093,yes,yes,no,Chlamydia trachomatis uid71093,Sequences from GENBANK for <I>Chlamydia trachomatis uid71093</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydia_trachomatis_uid71093/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydia_trachomatis_uid71093/*.fna
Chlamydia_trachomatis_uid71095,yes,yes,no,Chlamydia trachomatis uid71095,Sequences from GENBANK for <I>Chlamydia trachomatis uid71095</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydia_trachomatis_uid71095/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydia_trachomatis_uid71095/*.fna
Chlamydia_trachomatis_uid71097,yes,yes,no,Chlamydia trachomatis uid71097,Sequences from GENBANK for <I>Chlamydia trachomatis uid71097</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydia_trachomatis_uid71097/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydia_trachomatis_uid71097/*.fna
Chlamydia_trachomatis_uid71099,yes,yes,no,Chlamydia trachomatis uid71099,Sequences from GENBANK for <I>Chlamydia trachomatis uid71099</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydia_trachomatis_uid71099/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydia_trachomatis_uid71099/*.fna
Chlamydia_trachomatis_uid71101,yes,yes,no,Chlamydia trachomatis uid71101,Sequences from GENBANK for <I>Chlamydia trachomatis uid71101</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydia_trachomatis_uid71101/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydia_trachomatis_uid71101/*.fna
Chlamydia_trachomatis_uid71103,yes,yes,no,Chlamydia trachomatis uid71103,Sequences from GENBANK for <I>Chlamydia trachomatis uid71103</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydia_trachomatis_uid71103/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydia_trachomatis_uid71103/*.fna
Chlamydia_trachomatis_uid71105,yes,yes,no,Chlamydia trachomatis uid71105,Sequences from GENBANK for <I>Chlamydia trachomatis uid71105</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydia_trachomatis_uid71105/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydia_trachomatis_uid71105/*.fna
Chlamydia_trachomatis_uid71107,yes,yes,no,Chlamydia trachomatis uid71107,Sequences from GENBANK for <I>Chlamydia trachomatis uid71107</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydia_trachomatis_uid71107/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydia_trachomatis_uid71107/*.fna
Chlamydia_trachomatis_uid71109,yes,yes,no,Chlamydia trachomatis uid71109,Sequences from GENBANK for <I>Chlamydia trachomatis uid71109</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydia_trachomatis_uid71109/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydia_trachomatis_uid71109/*.fna
Chlamydia_trachomatis_uid71111,yes,yes,no,Chlamydia trachomatis uid71111,Sequences from GENBANK for <I>Chlamydia trachomatis uid71111</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydia_trachomatis_uid71111/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydia_trachomatis_uid71111/*.fna
Chlamydia_trachomatis_uid71113,yes,yes,no,Chlamydia trachomatis uid71113,Sequences from GENBANK for <I>Chlamydia trachomatis uid71113</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydia_trachomatis_uid71113/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydia_trachomatis_uid71113/*.fna
Chlamydia_trachomatis_uid71115,yes,yes,no,Chlamydia trachomatis uid71115,Sequences from GENBANK for <I>Chlamydia trachomatis uid71115</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydia_trachomatis_uid71115/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydia_trachomatis_uid71115/*.fna
